experiment_name,window_size,stride,batch_size,lr,weight_decay,beta,hidden_channels,num_layers,dropout,kernel_size,use_velocity,use_acceleration,max_rul,seed,epochs,val_rmse_best,test_rmse,test_mae,test_nasa_score
exp_000,200,1,128,0.0003,1e-05,0.75,32,2,0.8,5,True,True,2000,42,200,4.761278183684758,31.61904640816297,15.232306220575303,2437941.626630368
exp_001,200,1,64,0.001,0.0,1.0,128,3,0.7,7,True,True,2000,43,200,22.72425918535861,47.797113199153685,42.7972552334571,4419115533.811183
exp_002,500,5,256,0.0005,0.0001,0.75,64,4,0.2,3,True,True,2000,44,200,0.3316268744766404,6.7806612955358565,0.5741791202353453,43872.0605533958
exp_003,800,2,128,0.0001,0.001,0.5,128,2,0.8,5,True,True,2000,45,200,0.0712629080834116,7.174025234389845,0.42830068978996055,1383469.8774550096
exp_004,200,1,64,0.0005,0.0,1.0,32,5,0.5,5,True,True,2000,46,200,14.861543657477558,57.28053380353838,49.892925194331575,36640629.18306155
exp_005,800,2,64,0.0005,0.0,0.75,64,3,0.7,5,True,True,2000,47,200,0.48071486953864756,9.084794734846657,1.3244233954134048,1378566.5124584606
exp_006,800,1,64,0.0001,0.0001,1.75,96,2,0.3,7,True,True,2000,48,200,0.18548194465266915,9.050093788187926,0.9454487309365663,1374702.232819027
exp_007,1000,2,256,0.0003,0.0001,0.75,64,4,0.8,5,True,True,2000,49,200,0.06463310840907618,1.7333868701090813,0.16643876296796084,28.2897197586764
exp_008,500,1,256,0.0001,0.0,0.5,64,3,0.7,7,True,True,2000,50,200,0.0782244718992842,1.738228352425598,0.1775845301560162,29.077048666678625
exp_009,1000,5,256,0.001,0.0001,0.25,32,4,0.5,3,True,True,2000,51,200,0.1394910930509732,1.6961689395643849,0.2198473067988432,29.964157404340696
exp_010,500,2,32,0.0005,1e-05,0.5,96,3,0.3,5,True,True,2000,52,200,1.812916353709674,12.907485717347035,3.410786905163923,1085339.2735600541
exp_011,800,2,32,0.0001,0.0001,1.25,64,2,0.3,7,True,True,2000,53,200,0.5927655083491086,13.237377809074415,2.4633761384383455,1377432.3666403093
exp_012,1000,1,64,0.0003,0.001,0.75,96,5,0.3,7,True,True,2000,54,200,0.9990783591845297,8.889851962751491,1.6441377561217994,1113584.0696417438
exp_013,1000,5,128,0.0008,0.001,0.5,64,3,0.2,5,True,True,2000,55,200,0.7697827324744728,7.161775072245501,1.1460573057811365,1288474.4905845304
